Abbreviation,TeamName,GridPosition,Position,Status,RaceName,RoundNumber,Year
TSU,Red Bull Racing,12.0,17.0,Lapped,Monaco Grand Prix,8,2025
ANT,Mercedes,15.0,18.0,Lapped,Monaco Grand Prix,8,2025
ALO,Aston Martin,6.0,19.0,Retired,Monaco Grand Prix,8,2025
GAS,Alpine,17.0,20.0,Retired,Monaco Grand Prix,8,2025
PIA,McLaren,1.0,1.0,Finished,Spanish Grand Prix,9,2025
NOR,McLaren,2.0,2.0,Finished,Spanish Grand Prix,9,2025
LEC,Ferrari,7.0,3.0,Finished,Spanish Grand Prix,9,2025
RUS,Mercedes,4.0,4.0,Finished,Spanish Grand Prix,9,2025
HUL,Kick Sauber,15.0,5.0,Finished,Spanish Grand Prix,9,2025
HAM,Ferrari,5.0,6.0,Finished,Spanish Grand Prix,9,2025
HAD,Racing Bulls,9.0,7.0,Finished,Spanish Grand Prix,9,2025
GAS,Alpine,8.0,8.0,Finished,Spanish Grand Prix,9,2025
ALO,Aston Martin,10.0,9.0,Finished,Spanish Grand Prix,9,2025
VER,Red Bull Racing,3.0,10.0,Finished,Spanish Grand Prix,9,2025
LAW,Racing Bulls,13.0,11.0,Finished,Spanish Grand Prix,9,2025
BOR,Kick Sauber,12.0,12.0,Finished,Spanish Grand Prix,9,2025
TSU,Red Bull Racing,19.0,13.0,Finished,Spanish Grand Prix,9,2025
SAI,Williams,17.0,14.0,Finished,Spanish Grand Prix,9,2025
COL,Alpine,18.0,15.0,Finished,Spanish Grand Prix,9,2025
OCO,Haas F1 Team,16.0,16.0,Finished,Spanish Grand Prix,9,2025
BEA,Haas F1 Team,14.0,17.0,Finished,Spanish Grand Prix,9,2025
ANT,Mercedes,6.0,18.0,Retired,Spanish Grand Prix,9,2025
ALB,Williams,11.0,19.0,Retired,Spanish Grand Prix,9,2025
RUS,Mercedes,1.0,1.0,Finished,Canadian Grand Prix,10,2025
VER,Red Bull Racing,2.0,2.0,Finished,Canadian Grand Prix,10,2025
ANT,Mercedes,4.0,3.0,Finished,Canadian Grand Prix,10,2025
PIA,McLaren,3.0,4.0,Finished,Canadian Grand Prix,10,2025
LEC,Ferrari,8.0,5.0,Finished,Canadian Grand Prix,10,2025
HAM,Ferrari,5.0,6.0,Finished,Canadian Grand Prix,10,2025
ALO,Aston Martin,6.0,7.0,Finished,Canadian Grand Prix,10,2025
HUL,Kick Sauber,11.0,8.0,Finished,Canadian Grand Prix,10,2025
OCO,Haas F1 Team,14.0,9.0,Lapped,Canadian Grand Prix,10,2025
SAI,Williams,16.0,10.0,Lapped,Canadian Grand Prix,10,2025
BEA,Haas F1 Team,13.0,11.0,Lapped,Canadian Grand Prix,10,2025
TSU,Red Bull Racing,18.0,12.0,Lapped,Canadian Grand Prix,10,2025
COL,Alpine,10.0,13.0,Lapped,Canadian Grand Prix,10,2025
BOR,Kick Sauber,15.0,14.0,Lapped,Canadian Grand Prix,10,2025
GAS,Alpine,20.0,15.0,Lapped,Canadian Grand Prix,10,2025
HAD,Racing Bulls,12.0,16.0,Lapped,Canadian Grand Prix,10,2025
STR,Aston Martin,17.0,17.0,Lapped,Canadian Grand Prix,10,2025
NOR,McLaren,7.0,18.0,Retired,Canadian Grand Prix,10,2025
LAW,Racing Bulls,19.0,19.0,Retired,Canadian Grand Prix,10,2025
ALB,Williams,9.0,20.0,Retired,Canadian Grand Prix,10,2025
NOR,McLaren,1.0,1.0,Finished,Austrian Grand Prix,11,2025
PIA,McLaren,3.0,2.0,Finished,Austrian Grand Prix,11,2025
LEC,Ferrari,2.0,3.0,Finished,Austrian Grand Prix,11,2025
HAM,Ferrari,4.0,4.0,Finished,Austrian Grand Prix,11,2025
RUS,Mercedes,5.0,5.0,Finished,Austrian Grand Prix,11,2025
LAW,Racing Bulls,6.0,6.0,Finished,Austrian Grand Prix,11,2025
ALO,Aston Martin,11.0,7.0,Lapped,Austrian Grand Prix,11,2025
BOR,Kick Sauber,8.0,8.0,Lapped,Austrian Grand Prix,11,2025
HUL,Kick Sauber,20.0,9.0,Lapped,Austrian Grand Prix,11,2025
OCO,Haas F1 Team,17.0,10.0,Lapped,Austrian Grand Prix,11,2025
BEA,Haas F1 Team,15.0,11.0,Lapped,Austrian Grand Prix,11,2025
HAD,Racing Bulls,13.0,12.0,Lapped,Austrian Grand Prix,11,2025
GAS,Alpine,10.0,13.0,Lapped,Austrian Grand Prix,11,2025
STR,Aston Martin,16.0,14.0,Lapped,Austrian Grand Prix,11,2025
COL,Alpine,14.0,15.0,Lapped,Austrian Grand Prix,11,2025
TSU,Red Bull Racing,18.0,16.0,Lapped,Austrian Grand Prix,11,2025
ALB,Williams,12.0,17.0,Retired,Austrian Grand Prix,11,2025
VER,Red Bull Racing,7.0,18.0,Retired,Austrian Grand Prix,11,2025
ANT,Mercedes,9.0,19.0,Retired,Austrian Grand Prix,11,2025
SAI,Williams,19.0,20.0,Did not start,Austrian Grand Prix,11,2025
NOR,McLaren,3.0,1.0,Finished,British Grand Prix,12,2025
PIA,McLaren,2.0,2.0,Finished,British Grand Prix,12,2025
HUL,Kick Sauber,19.0,3.0,Finished,British Grand Prix,12,2025
HAM,Ferrari,5.0,4.0,Finished,British Grand Prix,12,2025
VER,Red Bull Racing,1.0,5.0,Finished,British Grand Prix,12,2025
GAS,Alpine,8.0,6.0,Finished,British Grand Prix,12,2025
STR,Aston Martin,17.0,7.0,Finished,British Grand Prix,12,2025
ALB,Williams,13.0,8.0,Finished,British Grand Prix,12,2025
ALO,Aston Martin,7.0,9.0,Finished,British Grand Prix,12,2025
RUS,Mercedes,4.0,10.0,Finished,British Grand Prix,12,2025
BEA,Haas F1 Team,18.0,11.0,Finished,British Grand Prix,12,2025
SAI,Williams,9.0,12.0,Finished,British Grand Prix,12,2025
OCO,Haas F1 Team,14.0,13.0,Finished,British Grand Prix,12,2025
LEC,Ferrari,6.0,14.0,Finished,British Grand Prix,12,2025
TSU,Red Bull Racing,11.0,15.0,Lapped,British Grand Prix,12,2025
ANT,Mercedes,10.0,16.0,Retired,British Grand Prix,12,2025
HAD,Racing Bulls,12.0,17.0,Retired,British Grand Prix,12,2025
BOR,Kick Sauber,16.0,18.0,Retired,British Grand Prix,12,2025
LAW,Racing Bulls,15.0,19.0,Retired,British Grand Prix,12,2025
COL,Alpine,20.0,20.0,Did not start,British Grand Prix,12,2025
PIA,McLaren,2.0,1.0,Finished,Belgian Grand Prix,13,2025
NOR,McLaren,1.0,2.0,Finished,Belgian Grand Prix,13,2025
LEC,Ferrari,3.0,3.0,Finished,Belgian Grand Prix,13,2025
VER,Red Bull Racing,4.0,4.0,Finished,Belgian Grand Prix,13,2025
RUS,Mercedes,6.0,5.0,Finished,Belgian Grand Prix,13,2025
ALB,Williams,5.0,6.0,Finished,Belgian Grand Prix,13,2025
HAM,Ferrari,18.0,7.0,Finished,Belgian Grand Prix,13,2025
LAW,Racing Bulls,9.0,8.0,Finished,Belgian Grand Prix,13,2025
BOR,Kick Sauber,10.0,9.0,Finished,Belgian Grand Prix,13,2025
GAS,Alpine,13.0,10.0,Finished,Belgian Grand Prix,13,2025
BEA,Haas F1 Team,12.0,11.0,Finished,Belgian Grand Prix,13,2025
HUL,Kick Sauber,14.0,12.0,Finished,Belgian Grand Prix,13,2025
TSU,Red Bull Racing,7.0,13.0,Finished,Belgian Grand Prix,13,2025
STR,Aston Martin,16.0,14.0,Finished,Belgian Grand Prix,13,2025
OCO,Haas F1 Team,11.0,15.0,Finished,Belgian Grand Prix,13,2025
ANT,Mercedes,19.0,16.0,Finished,Belgian Grand Prix,13,2025
ALO,Aston Martin,20.0,17.0,Finished,Belgian Grand Prix,13,2025
SAI,Williams,17.0,18.0,Finished,Belgian Grand Prix,13,2025
COL,Alpine,15.0,19.0,Finished,Belgian Grand Prix,13,2025
HAD,Racing Bulls,8.0,20.0,Lapped,Belgian Grand Prix,13,2025
NOR,McLaren,3.0,1.0,Finished,Hungarian Grand Prix,14,2025
PIA,McLaren,2.0,2.0,Finished,Hungarian Grand Prix,14,2025
RUS,Mercedes,4.0,3.0,Finished,Hungarian Grand Prix,14,2025
LEC,Ferrari,1.0,4.0,Finished,Hungarian Grand Prix,14,2025
ALO,Aston Martin,5.0,5.0,Finished,Hungarian Grand Prix,14,2025
BOR,Kick Sauber,7.0,6.0,Finished,Hungarian Grand Prix,14,2025
STR,Aston Martin,6.0,7.0,Finished,Hungarian Grand Prix,14,2025
LAW,Racing Bulls,9.0,8.0,Finished,Hungarian Grand Prix,14,2025
VER,Red Bull Racing,8.0,9.0,Finished,Hungarian Grand Prix,14,2025
ANT,Mercedes,15.0,10.0,Lapped,Hungarian Grand Prix,14,2025
HAD,Racing Bulls,10.0,11.0,Lapped,Hungarian Grand Prix,14,2025
HAM,Ferrari,12.0,12.0,Lapped,Hungarian Grand Prix,14,2025
HUL,Kick Sauber,18.0,13.0,Lapped,Hungarian Grand Prix,14,2025
SAI,Williams,13.0,14.0,Lapped,Hungarian Grand Prix,14,2025
ALB,Williams,19.0,15.0,Lapped,Hungarian Grand Prix,14,2025
OCO,Haas F1 Team,17.0,16.0,Lapped,Hungarian Grand Prix,14,2025
TSU,Red Bull Racing,20.0,17.0,Lapped,Hungarian Grand Prix,14,2025
COL,Alpine,14.0,18.0,Lapped,Hungarian Grand Prix,14,2025
GAS,Alpine,16.0,19.0,Lapped,Hungarian Grand Prix,14,2025
BEA,Haas F1 Team,11.0,20.0,Retired,Hungarian Grand Prix,14,2025
PIA,McLaren,1.0,1.0,Finished,Dutch Grand Prix,15,2025
VER,Red Bull Racing,3.0,2.0,Finished,Dutch Grand Prix,15,2025
HAD,Racing Bulls,4.0,3.0,Finished,Dutch Grand Prix,15,2025
RUS,Mercedes,5.0,4.0,Finished,Dutch Grand Prix,15,2025
ALB,Williams,15.0,5.0,Finished,Dutch Grand Prix,15,2025
BEA,Haas F1 Team,20.0,6.0,Finished,Dutch Grand Prix,15,2025
STR,Aston Martin,19.0,7.0,Finished,Dutch Grand Prix,15,2025
ALO,Aston Martin,10.0,8.0,Finished,Dutch Grand Prix,15,2025
TSU,Red Bull Racing,12.0,9.0,Finished,Dutch Grand Prix,15,2025
OCO,Haas F1 Team,18.0,10.0,Finished,Dutch Grand Prix,15,2025
COL,Alpine,16.0,11.0,Finished,Dutch Grand Prix,15,2025
LAW,Racing Bulls,8.0,12.0,Finished,Dutch Grand Prix,15,2025
SAI,Williams,9.0,13.0,Finished,Dutch Grand Prix,15,2025
HUL,Kick Sauber,17.0,14.0,Finished,Dutch Grand Prix,15,2025
BOR,Kick Sauber,13.0,15.0,Finished,Dutch Grand Prix,15,2025
ANT,Mercedes,11.0,16.0,Finished,Dutch Grand Prix,15,2025
GAS,Alpine,14.0,17.0,Finished,Dutch Grand Prix,15,2025
NOR,McLaren,2.0,18.0,Retired,Dutch Grand Prix,15,2025
LEC,Ferrari,6.0,19.0,Retired,Dutch Grand Prix,15,2025
HAM,Ferrari,7.0,20.0,Retired,Dutch Grand Prix,15,2025
VER,Red Bull Racing,1.0,1.0,Finished,Italian Grand Prix,16,2025
NOR,McLaren,2.0,2.0,Finished,Italian Grand Prix,16,2025
PIA,McLaren,3.0,3.0,Finished,Italian Grand Prix,16,2025
LEC,Ferrari,4.0,4.0,Finished,Italian Grand Prix,16,2025
RUS,Mercedes,5.0,5.0,Finished,Italian Grand Prix,16,2025
HAM,Ferrari,10.0,6.0,Finished,Italian Grand Prix,16,2025
ALB,Williams,14.0,7.0,Finished,Italian Grand Prix,16,2025
BOR,Kick Sauber,7.0,8.0,Finished,Italian Grand Prix,16,2025
ANT,Mercedes,6.0,9.0,Finished,Italian Grand Prix,16,2025
HAD,Racing Bulls,19.0,10.0,Finished,Italian Grand Prix,16,2025
SAI,Williams,13.0,11.0,Finished,Italian Grand Prix,16,2025
BEA,Haas F1 Team,11.0,12.0,Finished,Italian Grand Prix,16,2025
TSU,Red Bull Racing,9.0,13.0,Finished,Italian Grand Prix,16,2025
LAW,Racing Bulls,18.0,14.0,Finished,Italian Grand Prix,16,2025
OCO,Haas F1 Team,15.0,15.0,Lapped,Italian Grand Prix,16,2025
GAS,Alpine,20.0,16.0,Lapped,Italian Grand Prix,16,2025
COL,Alpine,17.0,17.0,Lapped,Italian Grand Prix,16,2025
STR,Aston Martin,16.0,18.0,Lapped,Italian Grand Prix,16,2025
ALO,Aston Martin,8.0,19.0,Retired,Italian Grand Prix,16,2025
HUL,Kick Sauber,12.0,20.0,Did not start,Italian Grand Prix,16,2025
VER,Red Bull Racing,1.0,1.0,Finished,Azerbaijan Grand Prix,17,2025
RUS,Mercedes,5.0,2.0,Finished,Azerbaijan Grand Prix,17,2025
SAI,Williams,2.0,3.0,Finished,Azerbaijan Grand Prix,17,2025
ANT,Mercedes,4.0,4.0,Finished,Azerbaijan Grand Prix,17,2025
LAW,Racing Bulls,3.0,5.0,Finished,Azerbaijan Grand Prix,17,2025
TSU,Red Bull Racing,6.0,6.0,Finished,Azerbaijan Grand Prix,17,2025
NOR,McLaren,7.0,7.0,Finished,Azerbaijan Grand Prix,17,2025
HAM,Ferrari,12.0,8.0,Finished,Azerbaijan Grand Prix,17,2025
LEC,Ferrari,10.0,9.0,Finished,Azerbaijan Grand Prix,17,2025
HAD,Racing Bulls,8.0,10.0,Finished,Azerbaijan Grand Prix,17,2025
BOR,Kick Sauber,13.0,11.0,Finished,Azerbaijan Grand Prix,17,2025
BEA,Haas F1 Team,15.0,12.0,Finished,Azerbaijan Grand Prix,17,2025
ALB,Williams,19.0,13.0,Finished,Azerbaijan Grand Prix,17,2025
OCO,Haas F1 Team,20.0,14.0,Finished,Azerbaijan Grand Prix,17,2025
ALO,Aston Martin,11.0,15.0,Finished,Azerbaijan Grand Prix,17,2025
HUL,Kick Sauber,17.0,16.0,Finished,Azerbaijan Grand Prix,17,2025
