Abbreviation,PracticeOrder,ActualGrid,Error,AbsError,RoundNumber,RaceName,Session
OCO,16,14.0,2.0,2.0,4,Miami Grand Prix,FP1
LAW,17,11.0,6.0,6.0,4,Miami Grand Prix,FP1
PER,18,20.0,-2.0,2.0,4,Miami Grand Prix,FP1
ALO,19,17.0,2.0,2.0,4,Miami Grand Prix,FP1
BOT,20,19.0,1.0,1.0,4,Miami Grand Prix,FP1
LIN,21,16.0,5.0,5.0,4,Miami Grand Prix,FP1
STR,22,18.0,4.0,4.0,4,Miami Grand Prix,FP1
ANT,1,2.0,-1.0,1.0,5,Canadian Grand Prix,FP1
RUS,2,1.0,1.0,1.0,5,Canadian Grand Prix,FP1
HAM,3,5.0,-2.0,2.0,5,Canadian Grand Prix,FP1
LEC,4,8.0,-4.0,4.0,5,Canadian Grand Prix,FP1
VER,5,6.0,-1.0,1.0,5,Canadian Grand Prix,FP1
NOR,6,3.0,3.0,3.0,5,Canadian Grand Prix,FP1
PIA,7,4.0,3.0,3.0,5,Canadian Grand Prix,FP1
LIN,8,9.0,-1.0,1.0,5,Canadian Grand Prix,FP1
HUL,9,11.0,-2.0,2.0,5,Canadian Grand Prix,FP1
ALO,10,19.0,-9.0,9.0,5,Canadian Grand Prix,FP1
BOR,11,13.0,-2.0,2.0,5,Canadian Grand Prix,FP1
HAD,12,7.0,5.0,5.0,5,Canadian Grand Prix,FP1
OCO,13,17.0,-4.0,4.0,5,Canadian Grand Prix,FP1
ALB,14,18.0,-4.0,4.0,5,Canadian Grand Prix,FP1
SAI,15,15.0,0.0,0.0,5,Canadian Grand Prix,FP1
GAS,16,14.0,2.0,2.0,5,Canadian Grand Prix,FP1
STR,17,22.0,-5.0,5.0,5,Canadian Grand Prix,FP1
LAW,18,12.0,6.0,6.0,5,Canadian Grand Prix,FP1
BEA,19,16.0,3.0,3.0,5,Canadian Grand Prix,FP1
BOT,20,21.0,-1.0,1.0,5,Canadian Grand Prix,FP1
PER,21,20.0,1.0,1.0,5,Canadian Grand Prix,FP1
ANT,1,1.0,0.0,0.0,6,Monaco Grand Prix,FP3
LEC,2,4.0,-2.0,2.0,6,Monaco Grand Prix,FP3
HAM,3,3.0,0.0,0.0,6,Monaco Grand Prix,FP3
RUS,4,6.0,-2.0,2.0,6,Monaco Grand Prix,FP3
VER,5,2.0,3.0,3.0,6,Monaco Grand Prix,FP3
PIA,6,7.0,-1.0,1.0,6,Monaco Grand Prix,FP3
BOR,7,16.0,-9.0,9.0,6,Monaco Grand Prix,FP3
HAD,8,5.0,3.0,3.0,6,Monaco Grand Prix,FP3
NOR,9,8.0,1.0,1.0,6,Monaco Grand Prix,FP3
HUL,10,13.0,-3.0,3.0,6,Monaco Grand Prix,FP3
OCO,11,17.0,-6.0,6.0,6,Monaco Grand Prix,FP3
SAI,12,12.0,0.0,0.0,6,Monaco Grand Prix,FP3
GAS,13,9.0,4.0,4.0,6,Monaco Grand Prix,FP3
BEA,14,19.0,-5.0,5.0,6,Monaco Grand Prix,FP3
LAW,15,10.0,5.0,5.0,6,Monaco Grand Prix,FP3
ALB,16,11.0,5.0,5.0,6,Monaco Grand Prix,FP3
LIN,17,15.0,2.0,2.0,6,Monaco Grand Prix,FP3
PER,18,18.0,0.0,0.0,6,Monaco Grand Prix,FP3
COL,19,14.0,5.0,5.0,6,Monaco Grand Prix,FP3
BOT,20,20.0,0.0,0.0,6,Monaco Grand Prix,FP3
ALO,21,21.0,0.0,0.0,6,Monaco Grand Prix,FP3
STR,22,22.0,0.0,0.0,6,Monaco Grand Prix,FP3
RUS,1,1.0,0.0,0.0,7,Barcelona Grand Prix,FP3
PIA,2,7.0,-5.0,5.0,7,Barcelona Grand Prix,FP3
LEC,3,10.0,-7.0,7.0,7,Barcelona Grand Prix,FP3
NOR,4,4.0,0.0,0.0,7,Barcelona Grand Prix,FP3
HAM,5,2.0,3.0,3.0,7,Barcelona Grand Prix,FP3
VER,6,5.0,1.0,1.0,7,Barcelona Grand Prix,FP3
ANT,7,3.0,4.0,4.0,7,Barcelona Grand Prix,FP3
HAD,8,6.0,2.0,2.0,7,Barcelona Grand Prix,FP3
HUL,9,9.0,0.0,0.0,7,Barcelona Grand Prix,FP3
LIN,10,11.0,-1.0,1.0,7,Barcelona Grand Prix,FP3
BOR,11,12.0,-1.0,1.0,7,Barcelona Grand Prix,FP3
LAW,12,8.0,4.0,4.0,7,Barcelona Grand Prix,FP3
GAS,13,14.0,-1.0,1.0,7,Barcelona Grand Prix,FP3
COL,14,13.0,1.0,1.0,7,Barcelona Grand Prix,FP3
SAI,15,16.0,-1.0,1.0,7,Barcelona Grand Prix,FP3
OCO,16,17.0,-1.0,1.0,7,Barcelona Grand Prix,FP3
BEA,17,15.0,2.0,2.0,7,Barcelona Grand Prix,FP3
ALB,18,18.0,0.0,0.0,7,Barcelona Grand Prix,FP3
PER,19,19.0,0.0,0.0,7,Barcelona Grand Prix,FP3
ALO,20,22.0,-2.0,2.0,7,Barcelona Grand Prix,FP3
BOT,21,20.0,1.0,1.0,7,Barcelona Grand Prix,FP3
STR,22,21.0,1.0,1.0,7,Barcelona Grand Prix,FP3
RUS,1,1.0,0.0,0.0,8,Austrian Grand Prix,FP3
ANT,2,4.0,-2.0,2.0,8,Austrian Grand Prix,FP3
HAM,3,3.0,0.0,0.0,8,Austrian Grand Prix,FP3
PIA,4,7.0,-3.0,3.0,8,Austrian Grand Prix,FP3
NOR,5,6.0,-1.0,1.0,8,Austrian Grand Prix,FP3
VER,6,5.0,1.0,1.0,8,Austrian Grand Prix,FP3
LEC,7,2.0,5.0,5.0,8,Austrian Grand Prix,FP3
HAD,8,8.0,0.0,0.0,8,Austrian Grand Prix,FP3
LAW,9,9.0,0.0,0.0,8,Austrian Grand Prix,FP3
LIN,10,10.0,0.0,0.0,8,Austrian Grand Prix,FP3
GAS,11,11.0,0.0,0.0,8,Austrian Grand Prix,FP3
HUL,12,14.0,-2.0,2.0,8,Austrian Grand Prix,FP3
BOR,13,12.0,1.0,1.0,8,Austrian Grand Prix,FP3
COL,14,16.0,-2.0,2.0,8,Austrian Grand Prix,FP3
BEA,15,13.0,2.0,2.0,8,Austrian Grand Prix,FP3
OCO,16,15.0,1.0,1.0,8,Austrian Grand Prix,FP3
SAI,17,17.0,0.0,0.0,8,Austrian Grand Prix,FP3
ALB,18,18.0,0.0,0.0,8,Austrian Grand Prix,FP3
PER,19,19.0,0.0,0.0,8,Austrian Grand Prix,FP3
BOT,20,20.0,0.0,0.0,8,Austrian Grand Prix,FP3
ALO,21,21.0,0.0,0.0,8,Austrian Grand Prix,FP3
STR,22,22.0,0.0,0.0,8,Austrian Grand Prix,FP3
HAM,1,3.0,-2.0,2.0,9,British Grand Prix,FP1
ANT,2,1.0,1.0,1.0,9,British Grand Prix,FP1
LEC,3,2.0,1.0,1.0,9,British Grand Prix,FP1
RUS,4,4.0,0.0,0.0,9,British Grand Prix,FP1
PIA,5,8.0,-3.0,3.0,9,British Grand Prix,FP1
VER,6,7.0,-1.0,1.0,9,British Grand Prix,FP1
NOR,7,6.0,1.0,1.0,9,British Grand Prix,FP1
HAD,8,5.0,3.0,3.0,9,British Grand Prix,FP1
HUL,9,12.0,-3.0,3.0,9,British Grand Prix,FP1
LAW,10,10.0,0.0,0.0,9,British Grand Prix,FP1
COL,11,19.0,-8.0,8.0,9,British Grand Prix,FP1
BOR,12,11.0,1.0,1.0,9,British Grand Prix,FP1
LIN,13,9.0,4.0,4.0,9,British Grand Prix,FP1
BEA,14,13.0,1.0,1.0,9,British Grand Prix,FP1
OCO,15,17.0,-2.0,2.0,9,British Grand Prix,FP1
SAI,16,14.0,2.0,2.0,9,British Grand Prix,FP1
ALB,17,16.0,1.0,1.0,9,British Grand Prix,FP1
BOT,18,18.0,0.0,0.0,9,British Grand Prix,FP1
GAS,19,15.0,4.0,4.0,9,British Grand Prix,FP1
PER,20,20.0,0.0,0.0,9,British Grand Prix,FP1
ALO,21,21.0,0.0,0.0,9,British Grand Prix,FP1
STR,22,22.0,0.0,0.0,9,British Grand Prix,FP1
ANT,1,1.0,0.0,0.0,10,Belgian Grand Prix,FP3
NOR,2,13.0,-11.0,11.0,10,Belgian Grand Prix,FP3
VER,3,2.0,1.0,1.0,10,Belgian Grand Prix,FP3
RUS,4,3.0,1.0,1.0,10,Belgian Grand Prix,FP3
HAM,5,5.0,0.0,0.0,10,Belgian Grand Prix,FP3
LEC,6,4.0,2.0,2.0,10,Belgian Grand Prix,FP3
PIA,7,6.0,1.0,1.0,10,Belgian Grand Prix,FP3
HUL,8,12.0,-4.0,4.0,10,Belgian Grand Prix,FP3
BOR,9,8.0,1.0,1.0,10,Belgian Grand Prix,FP3
HAD,10,21.0,-11.0,11.0,10,Belgian Grand Prix,FP3
LIN,11,7.0,4.0,4.0,10,Belgian Grand Prix,FP3
LAW,12,9.0,3.0,3.0,10,Belgian Grand Prix,FP3
COL,13,11.0,2.0,2.0,10,Belgian Grand Prix,FP3
BEA,14,14.0,0.0,0.0,10,Belgian Grand Prix,FP3
GAS,15,10.0,5.0,5.0,10,Belgian Grand Prix,FP3
ALB,16,15.0,1.0,1.0,10,Belgian Grand Prix,FP3
BOT,17,17.0,0.0,0.0,10,Belgian Grand Prix,FP3
SAI,18,19.0,-1.0,1.0,10,Belgian Grand Prix,FP3
OCO,19,16.0,3.0,3.0,10,Belgian Grand Prix,FP3
PER,20,18.0,2.0,2.0,10,Belgian Grand Prix,FP3
ALO,21,22.0,-1.0,1.0,10,Belgian Grand Prix,FP3
STR,22,20.0,2.0,2.0,10,Belgian Grand Prix,FP3
NOR,1,1.0,0.0,0.0,11,Hungarian Grand Prix,FP3
HAM,2,5.0,-3.0,3.0,11,Hungarian Grand Prix,FP3
ANT,3,7.0,-4.0,4.0,11,Hungarian Grand Prix,FP3
LEC,4,2.0,2.0,2.0,11,Hungarian Grand Prix,FP3
PIA,5,3.0,2.0,2.0,11,Hungarian Grand Prix,FP3
RUS,6,6.0,0.0,0.0,11,Hungarian Grand Prix,FP3
VER,7,4.0,3.0,3.0,11,Hungarian Grand Prix,FP3
HAD,8,8.0,0.0,0.0,11,Hungarian Grand Prix,FP3
LAW,9,11.0,-2.0,2.0,11,Hungarian Grand Prix,FP3
HUL,10,10.0,0.0,0.0,11,Hungarian Grand Prix,FP3
BOR,11,14.0,-3.0,3.0,11,Hungarian Grand Prix,FP3
GAS,12,12.0,0.0,0.0,11,Hungarian Grand Prix,FP3
LIN,13,9.0,4.0,4.0,11,Hungarian Grand Prix,FP3
COL,14,13.0,1.0,1.0,11,Hungarian Grand Prix,FP3
OCO,15,15.0,0.0,0.0,11,Hungarian Grand Prix,FP3
BEA,16,17.0,-1.0,1.0,11,Hungarian Grand Prix,FP3
ALO,17,16.0,1.0,1.0,11,Hungarian Grand Prix,FP3
ALB,18,19.0,-1.0,1.0,11,Hungarian Grand Prix,FP3
SAI,19,18.0,1.0,1.0,11,Hungarian Grand Prix,FP3
STR,20,20.0,0.0,0.0,11,Hungarian Grand Prix,FP3
BOT,21,21.0,0.0,0.0,11,Hungarian Grand Prix,FP3
ANT,1,3.0,-2.0,2.0,12,Dutch Grand Prix,FP1
NOR,2,1.0,1.0,1.0,12,Dutch Grand Prix,FP1
RUS,3,2.0,1.0,1.0,12,Dutch Grand Prix,FP1
HAM,4,5.0,-1.0,1.0,12,Dutch Grand Prix,FP1
LEC,5,6.0,-1.0,1.0,12,Dutch Grand Prix,FP1
PIA,6,4.0,2.0,2.0,12,Dutch Grand Prix,FP1
HUL,7,13.0,-6.0,6.0,12,Dutch Grand Prix,FP1
GAS,8,11.0,-3.0,3.0,12,Dutch Grand Prix,FP1
BOR,9,9.0,0.0,0.0,12,Dutch Grand Prix,FP1
LIN,10,10.0,0.0,0.0,12,Dutch Grand Prix,FP1
VER,11,7.0,4.0,4.0,12,Dutch Grand Prix,FP1
ALO,12,18.0,-6.0,6.0,12,Dutch Grand Prix,FP1
COL,13,14.0,-1.0,1.0,12,Dutch Grand Prix,FP1
LAW,14,8.0,6.0,6.0,12,Dutch Grand Prix,FP1
BEA,15,20.0,-5.0,5.0,12,Dutch Grand Prix,FP1
OCO,16,15.0,1.0,1.0,12,Dutch Grand Prix,FP1
TSU,17,12.0,5.0,5.0,12,Dutch Grand Prix,FP1
STR,18,19.0,-1.0,1.0,12,Dutch Grand Prix,FP1
ALB,19,16.0,3.0,3.0,12,Dutch Grand Prix,FP1
BOT,20,21.0,-1.0,1.0,12,Dutch Grand Prix,FP1
PER,21,22.0,-1.0,1.0,12,Dutch Grand Prix,FP1
SAI,22,17.0,5.0,5.0,12,Dutch Grand Prix,FP1
